subtopic,importance,media,year,journal,title,authors,vol,issue,page,doi,pmid,open_access,verify,key_features
robotic_tecab,4,video,2023,Multimedia Manual of Cardio-Thoracic Surgery,Robotic redo totally endoscopic coronary artery bypass to the right coronary artery in a patient with prior coronary bypass surgery,,,,,10.1510/mmcts.2023.012,37067055,,match,robotic TECAB; redo; RITA-RCA; totally endoscopic; off-pump
robotic_tecab,4,figure_rich,2018,Annals of Cardiothoracic Surgery,Robotic totally endoscopic coronary artery bypass grafting (TECAB) of the left anterior descending and right coronary artery system using an arterial Y-graft technique,"Bonatti J, Göbölös L, Ramahi J, Bartel T",7,5,700-703,10.21037/acs.2018.06.10,30505757,,match,TECAB; robotic; Y-graft; arterial graft; LAD/RCA
robotic_tecab,4,figure_rich,2018,Annals of Cardiothoracic Surgery,Robotic beating-heart totally endoscopic coronary artery bypass,"Melly L, Douglas D, Jansens J",7,5,707-709,10.21037/acs.2018.06.13,30505759,,match,TECAB; robotic; beating-heart; off-pump
robotic_tecab,4,standard,2017,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,A Novel Robotic Bilateral Internal Mammary Artery Harvest Using Double Docking Technique for Coronary Artery Bypass Grafting,"Tarui T, Ishikawa N, Watanabe G",12,1,74-76,10.1177/155698451701200115,,,match,robotic BIMA harvest; double docking; da Vinci; anterolateral thoracotomy
robotic_tecab,4,figure_rich,2016,Annals of Cardiothoracic Surgery,Robotic totally endoscopic coronary artery bypass grafting (TECAB)—placement of bilateral internal mammary arteries to the left ventricle,"Bonatti J, Vento A, Bonaros N, Traina M et al",5,6,589-592,10.21037/acs.2016.11.05,27942494,,match,TECAB; robotic; BIMA; totally endoscopic
robotic_tecab,4,video,2011,Multimedia Manual of Cardio-Thoracic Surgery,Beating heart totally endoscopic coronary artery bypass,Jansens J,2011,0914,,10.1510/mmcts.2010.004663,24413530,,match,TECAB; beating heart; robotic; totally endoscopic; off-pump
robotic_tecab,4,figure_rich,2010,Operative Techniques in Thoracic and Cardiovascular Surgery,Robotic Coronary Artery Bypass Grafting,Liao KK,15,3,194-205,10.1053/j.optechstcvs.2010.08.002,,,match,robotic CABG; TECAB; ITA harvest; anastomosis
robotic_tecab,4,figure_rich,2008,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Robotically Assisted Beating Heart Totally Endoscopic Coronary Artery Bypass (TECAB): Is There a Future?,"Srivastava S, Gadasalli S, Agusala M, Kolluru R et al",3,2,52-58,10.1177/155698450800300202,,,match,TECAB; robotic; beating heart; endostabilizer; U-clip anastomosis; ITA
robotic_tecab,4,figure_rich,2001,Operative Techniques in Thoracic and Cardiovascular Surgery,Computer-assisted or robotic totally endoscopic coronary artery bypass grafting,WOLF R,6,3,177-188,10.1016/s1522-2942(01)80029-5,,,match,TECAB; robotic; totally endoscopic; computer-assisted
robotic_tecab,3,figure_rich,2025,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Robotic Totally Endoscopic Coronary Artery Bypass: Coronary Artery Stabilization Without the EndoWrist Stabilizer for a Second Arterial Graft,"Murtaza G, Zellner K, Wachowiak R, Corbit J et al",20,6,594-595,10.1177/15569845251388992,41305869,yes,match,robotic TECAB; coronary stabilization; second arterial graft; no EndoWrist stabilizer
robotic_tecab,3,standard,2025,JTCVS Techniques,Indocyanine green fluorescence imaging for accurate detection of an intramural coronary artery during robotic coronary artery bypass grafting,"Khalpey Z, Kumar U, Khalpey Z, Phillips T et al",30,,94-97,10.1016/j.xjtc.2025.01.018,40242130,yes,match,robotic CABG; ICG fluorescence; intramural coronary; target identification
robotic_tecab,3,figure_rich,2024,Annals of Cardiothoracic Surgery,Robotic totally endoscopic beating-heart unroofing of a left anterior descending artery myocardial bridge,"Nisivaco S, Kitahara H, Balkhy HH",13,4,385-387,10.21037/acs-2023-rcabg-0193,39157179,yes,match,myocardial bridge; unroofing; TECAB; beating heart; LAD
robotic_tecab,3,figure_rich,2019,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Left Internal Thoracic Artery Graft Assessment by Firefly Fluorescence Imaging for Robot-Assisted Minimally Invasive Direct Coronary Artery Bypass,"Nakamura Y, Kuroda M, Ito Y, Masuda T et al",14,2,144-150,10.1177/1556984519836810,30885086,,match,R-MIDCAB; Firefly ICG fluorescence; LITA assessment; intraoperative imaging; device use
robotic_tecab,3,figure_rich,2006,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Total Endoscopic Beating-Heart Coronary Artery Bypass Grafting Using a New 3D Imaging System,"Tomita S, Watanabe G, Tabata S, Nishida S",1,5,243-246,10.1177/155698450600100504,,,match,total endoscopic CABG; 3D endoscope; beating heart; LITA-LAD
robotic_tecab,3,standard,2006,Interactive CardioVascular and Thoracic Surgery,A new exposure technique for the circumflex coronary artery system in robotic totally endoscopic coronary artery bypass grafting,"Bonatti J, Schachner T, Bonaros N, Laufer G",5,3,279-281,10.1510/icvts.2005.123125,17670568,,match,TECAB; circumflex exposure; Octopus-TE stabilizer; da Vinci; arrested heart
robotic_tecab,2,figure_rich,2024,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Totally Endoscopic Coronary Artery Aneurysm Repair,"Kato R, Hosoba S, Ito T",19,2,121-121,10.1177/15569845241237803,38556734,,match,totally endoscopic; coronary artery aneurysm; robotic repair; case report
hybrid,4,figure_rich,2022,JTCVS Techniques,Robotic advanced hybrid coronary revascularization: Outcomes with two internal thoracic artery grafts and stents,"Balkhy HH, Nisivaco S, Kitahara H, AbuTaleb A et al",16,,76-88,10.1016/j.xjtc.2022.08.012,36510526,yes,match,robotic TECAB; hybrid revascularization; BITA; PCI/DES
hybrid,4,figure_rich,2016,Annals of Cardiothoracic Surgery,Hybrid robotic coronary artery bypass grafting: how do we do it,"Torregrossa G, Kanei Y, Puskas J",5,6,582-585,10.21037/acs.2016.11.06,27942492,,match,hybrid; robotic; how-to; MIDCAB+PCI
hybrid,3,figure_rich,2006,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Planned Simultaneous Beating-Heart Totally Endoscopic Coronary Artery Bypass (TECAB) and Percutaneous Intervention in a Single Operative Setting,"Srivastava S, Gadasalli S, Tijerina O, Barrera R et al",1,5,239-242,10.1177/155698450600100503,,,match,hybrid revascularization; TECAB; robotic; simultaneous PCI
hybrid,2,figure_rich,2011,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Concomitant Transapical Transcatheter Aortic Valve Implantation and Minimally Invasive Direct Coronary Artery Bypass,"Baumbach H, Adili S, Ursulescu A, Franke UFW",6,6,389-390,10.1177/155698451100600609,,,match,transapical TAVI; MIDCAB; hybrid off-pump; concomitant procedure
special_population_redo,3,figure_rich,2023,JTCVS Techniques,Right single lung transplant with off-pump coronary artery bypass grafting using in situ right internal thoracic artery via thoracotomy,"Toyoda Y, Kehara H, Kashem M, Leotta E et al",19,,157-159,10.1016/j.xjtc.2023.02.011,37324322,yes,match,off-pump CABG; in situ RITA; thoracotomy; concomitant lung transplant
special_population_redo,3,figure_rich,2007,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Simultaneous Off-Pump Coronary Artery Bypass Grafting and Ascending Aortobifemoral Bypass Graft via Ventral Abdominal Route,"Rajendran S, Prabhu AD, Thazhakuni I, Vellachamy KA et al",2,2,84-85,10.1177/155698450700200207,,,match,OPCAB; aortobifemoral bypass; ventral abdominal route; concomitant procedure; limb revascularization
special_population_redo,2,figure_rich,2022,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Minimally Invasive Coronary Artery Bypass Grafting in a Patient With Chronic Tracheostoma: Alternative to Reduce Sternal Wound Complication Risk,"Nantsios A, Elmistekawy E, Ponnambalam M, Lambert AS et al",17,6,574-576,10.1177/15569845221137898,36571255,yes,match,MICS-CABG; tracheostoma; sternal-sparing; high SWI risk; case report
special_population_redo,2,figure_rich,2006,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Concomitant Beating-Heart Mitral Valve Surgery and Coronary Artery Bypass in Patients with Compromised Ventricular Function,"Di Luozzo G, Lombardi P, Maldonado A, Ricci M et al",1,4,151-154,10.1177/155698450600100404,,,match,beating heart; concomitant MV + CABG; no aortic cross-clamp; low EF
conversion_safety,3,standard,2005,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Routine Off-Pump Coronary Artery Bypass: Reasons for On-Pump Conversion,"Hirose H, Amano A",1,1,28-31,10.1177/155698450500100103,,,match,on-pump conversion; routine OPCAB; safety; conversion reasons
training_simulation,4,figure_rich,2024,Annals of Cardiothoracic Surgery,Robotic-assisted coronary artery bypass grafting: how I teach it,"Sutter FP, Wertan MC, Spragan D, Yamashita Y et al",13,4,346-353,10.21037/acs-2024-rcabg-0033,39157180,yes,match,R-MIDCAB; teaching; robotic setup; IMA harvest; minithoracotomy; troubleshooting
training_simulation,3,figure_rich,2026,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,The Future of Coronary Bypass? A Novel Simulator for Robotic Beating-Heart TECAB Training,"AlJamal YN, Crestanello J, Dearani J, Balkhy HH",21,1,94-95,10.1177/15569845251408006,41629762,,match,robotic TECAB; beating-heart; simulator; training
training_simulation,3,figure_rich,2024,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Self-Practice Program for Beating-Heart Minimally Invasive Coronary Anastomosis Using a Homemade Low-Fidelity Simulator: A Proof of Concept,"Azmi MI, Nair AK, Hashim SA",19,2,175-183,10.1177/15569845241238999,38577864,,match,beating-heart simulator; coronary anastomosis; self-practice; MICS/OPCAB training
training_simulation,3,figure_rich,2024,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Safe Training Method for ITA Harvesting via Median Sternotomy in Minimally Invasive Coronary Artery Bypass Surgery Using Harmonic Scalpel,"Kikuchi K, Yoshino K, Sakai H, Sai Y et al",20,1,111-113,10.1177/15569845241290240,39473117,,match,ITA harvesting; Harmonic scalpel; median sternotomy; training method
training_simulation,3,figure_rich,2022,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Virtual Reality Simulation for Minimally Invasive Coronary Artery Bypass Grafting With Aortic No-Touch Total Arterial Grafting Technique,"Tachibana K, Kikuchi K, Sugimoto M, Osuda K et al",17,5,430-437,10.1177/15569845221129212,36331023,,match,virtual reality; aortic no-touch; total arterial; in-situ grafts; graft planning
training_simulation,3,standard,2017,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Novel Dry-Lab Training Method for Totally Endoscopic Coronary Anastomosis,"Ujihira K, Yamada A",12,5,363-369,10.1177/155698451701200509,,,match,dry-lab training; endoscopic coronary anastomosis; beating heart simulation; learning curve
training_simulation,3,figure_rich,2012,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,A Step toward Nonrobotic Total Endoscopic Coronary Bypass Grafting: 40 Coronary Anastomoses in a Biomechanical Beating Heart Model,"Gorki H, Patel NC, Liewald C, Wildhirt S et al",7,5,359-367,10.1177/155698451200700509,,,match,nonrobotic TECAB; endoscopic anastomosis; beating heart model; U-clip; simulation training
